id,name,score,score2
552,student_552,50,69
553,student_553,66,70
554,student_554,95,63
555,student_555,98,74
556,student_556,53,80
557,student_557,80,100
558,student_558,96,68
559,student_559,66,96
560,student_560,62,62
561,student_561,52,70
562,student_562,91,50
563,student_563,65,78
564,student_564,55,62
565,student_565,96,100
566,student_566,64,66
567,student_567,95,64
568,student_568,99,53
569,student_569,52,60
570,student_570,90,68
571,student_571,57,54
572,student_572,98,53
573,student_573,96,62
574,student_574,51,89
575,student_575,70,78
576,student_576,70,63
577,student_577,58,63
578,student_578,83,58
579,student_579,72,63
580,student_580,65,70
581,student_581,84,74
582,student_582,88,62
583,student_583,51,86
584,student_584,64,59
585,student_585,90,98
586,student_586,85,78
587,student_587,67,69
588,student_588,86,64
589,student_589,69,73
590,student_590,57,60
591,student_591,80,90
592,student_592,69,57
593,student_593,82,91
594,student_594,56,64
595,student_595,73,83
596,student_596,65,93
597,student_597,93,79
598,student_598,61,64
599,student_599,93,88
600,student_600,77,77
601,student_601,55,62
602,student_602,56,82
603,student_603,59,78
604,student_604,61,72
605,student_605,88,56
606,student_606,80,77
607,student_607,70,70
608,student_608,59,65
609,student_609,76,77
610,student_610,91,66
611,student_611,64,55
612,student_612,74,53
613,student_613,97,68
614,student_614,99,66
615,student_615,76,81
616,student_616,77,50
617,student_617,73,91
618,student_618,96,72
619,student_619,95,75
620,student_620,72,57
621,student_621,64,98
622,student_622,95,59
623,student_623,90,77
624,student_624,94,71
625,student_625,92,58
626,student_626,82,65
627,student_627,72,51
628,student_628,66,97
629,student_629,59,72
630,student_630,67,80
631,student_631,92,69
632,student_632,81,86
633,student_633,88,92
634,student_634,70,75
635,student_635,72,55
636,student_636,89,64
637,student_637,57,77
638,student_638,96,63
639,student_639,100,97
640,student_640,71,86
641,student_641,81,80
642,student_642,80,52
643,student_643,97,65
644,student_644,77,95
645,student_645,60,76
646,student_646,80,91
647,student_647,87,74
648,student_648,53,55
649,student_649,55,64
650,student_650,60,100
651,student_651,84,72
652,student_652,66,72
653,student_653,60,74
654,student_654,82,99
655,student_655,51,73
656,student_656,99,78
657,student_657,50,72
658,student_658,79,55
659,student_659,91,55
660,student_660,79,80
661,student_661,73,97
662,student_662,56,95
663,student_663,80,94
664,student_664,92,94
665,student_665,64,78
666,student_666,100,91
667,student_667,96,57
668,student_668,87,83
669,student_669,74,61
670,student_670,62,92
671,student_671,60,61
672,student_672,62,75
673,student_673,88,54
674,student_674,51,77
675,student_675,76,87
676,student_676,87,53
677,student_677,75,71
678,student_678,56,96
679,student_679,59,94
680,student_680,96,79
681,student_681,69,70
682,student_682,73,65
683,student_683,53,77
684,student_684,50,72
685,student_685,88,55
686,student_686,82,70
687,student_687,72,93
688,student_688,74,88
689,student_689,59,62
690,student_690,56,91
691,student_691,53,56
692,student_692,100,84
693,student_693,62,91
694,student_694,79,96
695,student_695,80,81
696,student_696,80,84
697,student_697,54,50
698,student_698,72,87
699,student_699,97,60
700,student_700,73,98
701,student_701,99,50
702,student_702,69,74
703,student_703,88,75
704,student_704,77,89
705,student_705,65,59
706,student_706,81,65
707,student_707,78,96
708,student_708,59,62
709,student_709,94,74
710,student_710,57,76
711,student_711,94,99
712,student_712,53,72
713,student_713,69,89
714,student_714,74,87
715,student_715,78,73
716,student_716,74,90
717,student_717,89,74
718,student_718,58,72
719,student_719,96,69
720,student_720,69,89
721,student_721,73,97
722,student_722,88,73
723,student_723,80,52
724,student_724,68,72
725,student_725,90,77
726,student_726,59,63
727,student_727,76,73
728,student_728,76,97
729,student_729,55,75
730,student_730,86,87
731,student_731,82,78
732,student_732,52,61
733,student_733,53,52
734,student_734,56,68
735,student_735,77,50
736,student_736,96,59
737,student_737,81,97
738,student_738,81,68
739,student_739,82,62
740,student_740,68,100
741,student_741,100,70
742,student_742,70,73
743,student_743,87,54
744,student_744,83,55
745,student_745,60,87
746,student_746,95,55
747,student_747,79,52
748,student_748,85,64
749,student_749,96,53
750,student_750,84,68
751,student_751,91,75
752,student_752,87,57
753,student_753,59,77
754,student_754,56,98
755,student_755,93,83
756,student_756,72,81
757,student_757,62,66
758,student_758,64,87
759,student_759,92,52
760,student_760,79,82
761,student_761,79,91
762,student_762,89,61
763,student_763,96,97
764,student_764,56,87
765,student_765,82,76
766,student_766,61,100
767,student_767,95,54
768,student_768,53,91
769,student_769,69,75
770,student_770,99,55
771,student_771,57,61
772,student_772,81,97
773,student_773,79,81
774,student_774,89,79
775,student_775,63,69
776,student_776,50,97
777,student_777,84,93
778,student_778,97,52
779,student_779,100,82
780,student_780,80,86
781,student_781,90,69
782,student_782,78,93
783,student_783,55,57
784,student_784,59,50
785,student_785,64,55
786,student_786,56,61
787,student_787,83,74
788,student_788,89,67
789,student_789,92,79
790,student_790,55,95
791,student_791,52,83
792,student_792,69,89
793,student_793,56,88
794,student_794,64,87
795,student_795,100,84
796,student_796,86,88
797,student_797,70,100
798,student_798,92,50
799,student_799,94,68
800,student_800,71,88
801,student_801,94,68
802,student_802,92,63
803,student_803,91,86
804,student_804,98,68
805,student_805,53,57
806,student_806,95,84
807,student_807,74,65
808,student_808,61,100
809,student_809,76,90
810,student_810,88,99
811,student_811,63,71
812,student_812,81,80
813,student_813,78,88
814,student_814,91,62
815,student_815,59,55
816,student_816,64,83
817,student_817,99,59
818,student_818,70,52
819,student_819,63,98
820,student_820,57,83
821,student_821,63,94
822,student_822,63,64
823,student_823,86,81
824,student_824,79,67
825,student_825,60,92
826,student_826,66,92
827,student_827,67,70
828,student_828,86,81
829,student_829,100,97
830,student_830,57,62
831,student_831,76,98
832,student_832,76,68
833,student_833,77,78
834,student_834,97,55
835,student_835,95,52
836,student_836,97,80
837,student_837,65,67
838,student_838,50,79
839,student_839,56,62
840,student_840,60,96
841,student_841,77,91
842,student_842,85,56
843,student_843,76,81
844,student_844,99,86
845,student_845,53,87
846,student_846,66,100
847,student_847,98,87
848,student_848,78,89
849,student_849,52,63
850,student_850,100,77
851,student_851,50,66
852,student_852,51,84
853,student_853,73,61
854,student_854,57,80
855,student_855,72,91
856,student_856,92,93
857,student_857,67,64
858,student_858,81,94
859,student_859,61,88
860,student_860,79,90
861,student_861,78,73
862,student_862,70,60
863,student_863,93,63
864,student_864,91,63
865,student_865,80,55
866,student_866,96,73
867,student_867,100,53
868,student_868,88,82
869,student_869,55,69
870,student_870,70,54
871,student_871,90,98
872,student_872,94,88
873,student_873,97,98
874,student_874,92,93
875,student_875,70,73
876,student_876,54,56
877,student_877,76,96
878,student_878,85,83
879,student_879,81,56
880,student_880,82,51
881,student_881,100,89
882,student_882,56,85
883,student_883,88,72
884,student_884,64,70
885,student_885,97,99
886,student_886,55,99
887,student_887,73,89
888,student_888,55,88
889,student_889,88,63
890,student_890,74,74
891,student_891,77,98
892,student_892,88,90
893,student_893,50,100
894,student_894,96,70
895,student_895,73,60
896,student_896,99,63
897,student_897,92,70
898,student_898,71,76
899,student_899,93,50
900,student_900,61,65
901,student_901,92,80
902,student_902,87,88
903,student_903,85,80
904,student_904,61,97
905,student_905,95,64
906,student_906,55,100
907,student_907,59,56
908,student_908,63,67
909,student_909,51,85
910,student_910,73,66
911,student_911,62,83
912,student_912,83,94
913,student_913,65,82
914,student_914,63,88
915,student_915,51,51
916,student_916,59,62
917,student_917,80,91
918,student_918,94,79
919,student_919,84,77
920,student_920,75,97
921,student_921,97,98
922,student_922,75,56
923,student_923,56,56
924,student_924,66,78
925,student_925,68,85
926,student_926,84,70
927,student_927,82,57
928,student_928,75,75
929,student_929,51,70
930,student_930,80,59
931,student_931,99,61
932,student_932,74,78
933,student_933,59,70
934,student_934,55,94
935,student_935,61,68
936,student_936,55,52
937,student_937,87,86
938,student_938,88,56
939,student_939,86,85
940,student_940,76,80
941,student_941,76,62
942,student_942,73,80
943,student_943,91,99
944,student_944,83,81
945,student_945,82,52
946,student_946,63,57
947,student_947,98,65
948,student_948,62,75
949,student_949,73,58
950,student_950,85,86
951,student_951,66,93
952,student_952,60,57
953,student_953,91,79
954,student_954,79,75
955,student_955,85,53
956,student_956,78,54
957,student_957,98,79
958,student_958,100,82
959,student_959,78,59
960,student_960,73,74
961,student_961,59,67
962,student_962,61,100
963,student_963,100,80
964,student_964,96,98
965,student_965,60,52
966,student_966,53,80
967,student_967,74,51
968,student_968,74,63
969,student_969,86,59
970,student_970,76,100
971,student_971,65,57
972,student_972,73,89
973,student_973,83,67
974,student_974,94,71
975,student_975,99,81
976,student_976,81,64
977,student_977,60,97
978,student_978,76,64
979,student_979,51,56
980,student_980,81,86
981,student_981,80,84
982,student_982,90,96
983,student_983,77,80
984,student_984,91,53
985,student_985,56,67
986,student_986,92,55
987,student_987,90,76
988,student_988,50,57
989,student_989,62,75
990,student_990,56,100
991,student_991,50,64
992,student_992,54,81
993,student_993,80,80
994,student_994,81,62
995,student_995,55,91
996,student_996,67,70
997,student_997,86,87
998,student_998,91,53
999,student_999,86,57
1000,student_1000,57,54
1001,student_1001,65,52
1002,student_1002,63,96
1003,student_1003,81,74
1004,student_1004,94,64
1005,student_1005,82,57
1006,student_1006,66,73
1007,student_1007,54,94
1008,student_1008,52,80
1009,student_1009,55,59
1010,student_1010,85,86
1011,student_1011,63,68
1012,student_1012,76,57
1013,student_1013,93,98
1014,student_1014,51,97
1015,student_1015,67,70
1016,student_1016,70,79
1017,student_1017,93,76
1018,student_1018,54,87
1019,student_1019,68,76
1020,student_1020,92,61
1021,student_1021,63,64
1022,student_1022,80,80
1023,student_1023,91,53
1024,student_1024,88,58
1025,student_1025,76,51
1026,student_1026,89,99
1027,student_1027,60,100
1028,student_1028,59,94
1029,student_1029,75,80
1030,student_1030,72,64
1031,student_1031,83,84
1032,student_1032,69,79
1033,student_1033,100,57
1034,student_1034,100,97
1035,student_1035,50,100
1036,student_1036,93,61
1037,student_1037,88,54
1038,student_1038,82,100
1039,student_1039,60,67
1040,student_1040,61,63
1041,student_1041,93,66
1042,student_1042,75,82
1043,student_1043,94,52
1044,student_1044,50,60
1045,student_1045,62,77
1046,student_1046,95,78
1047,student_1047,88,78
1048,student_1048,79,61
1049,student_1049,68,67
1050,student_1050,71,68
1051,student_1051,82,76
1052,student_1052,71,55
1053,student_1053,68,80
1054,student_1054,86,70
1055,student_1055,70,67
1056,student_1056,57,96
1057,student_1057,60,92
1058,student_1058,73,62
1059,student_1059,89,87
1060,student_1060,70,97
1061,student_1061,90,51
1062,student_1062,88,71
1063,student_1063,53,80
1064,student_1064,78,95
1065,student_1065,66,93
1066,student_1066,98,52
1067,student_1067,59,59
1068,student_1068,65,59
1069,student_1069,66,62
1070,student_1070,52,73
1071,student_1071,93,76
1072,student_1072,68,97
1073,student_1073,84,96
1074,student_1074,70,92
1075,student_1075,88,55
1076,student_1076,80,56
1077,student_1077,54,96
1078,student_1078,66,65
1079,student_1079,83,51
1080,student_1080,91,61
1081,student_1081,50,74
1082,student_1082,74,63
1083,student_1083,63,62
1084,student_1084,73,57
1085,student_1085,56,85
1086,student_1086,99,76
1087,student_1087,61,59
1088,student_1088,74,62
1089,student_1089,63,52
1090,student_1090,67,71
1091,student_1091,90,82
1092,student_1092,86,85
1093,student_1093,56,87
1094,student_1094,67,72
1095,student_1095,79,53
1096,student_1096,67,68
1097,student_1097,99,75
1098,student_1098,97,55
1099,student_1099,50,81
1100,student_1100,86,81
1101,student_1101,68,74
1102,student_1102,90,78
1103,student_1103,51,61
1104,student_1104,73,94
1105,student_1105,69,62
1106,student_1106,79,93
1107,student_1107,76,79
1108,student_1108,83,63
1109,student_1109,100,55
1110,student_1110,81,76
1111,student_1111,93,68
1112,student_1112,98,58
1113,student_1113,94,67
1114,student_1114,96,79
1115,student_1115,67,56
1116,student_1116,98,75
1117,student_1117,50,87
1118,student_1118,92,72
1119,student_1119,77,86
1120,student_1120,91,77
1121,student_1121,73,96
1122,student_1122,61,89
1123,student_1123,68,95
1124,student_1124,58,90
1125,student_1125,88,82
1126,student_1126,53,60
1127,student_1127,96,62
1128,student_1128,77,54
1129,student_1129,100,71
1130,student_1130,90,74
1131,student_1131,88,73
1132,student_1132,58,58
1133,student_1133,74,52
1134,student_1134,97,66
1135,student_1135,84,99
1136,student_1136,84,55
1137,student_1137,84,88
1138,student_1138,82,76
1139,student_1139,63,80
1140,student_1140,53,69
1141,student_1141,79,83
1142,student_1142,60,82
1143,student_1143,76,65
1144,student_1144,85,74
1145,student_1145,74,69
1146,student_1146,84,81
1147,student_1147,89,53
1148,student_1148,81,69
1149,student_1149,100,61
1150,student_1150,56,95
1151,student_1151,75,61
1152,student_1152,92,94
1153,student_1153,62,75
1154,student_1154,72,91
1155,student_1155,94,64
1156,student_1156,64,98
1157,student_1157,76,67
1158,student_1158,77,73
1159,student_1159,72,54
1160,student_1160,79,76
1161,student_1161,97,78
1162,student_1162,58,66
1163,student_1163,61,89
1164,student_1164,86,78
1165,student_1165,69,63
1166,student_1166,82,77
1167,student_1167,77,91
1168,student_1168,60,84
1169,student_1169,71,77
1170,student_1170,81,82
1171,student_1171,67,81
1172,student_1172,92,80
1173,student_1173,89,69
1174,student_1174,77,53
1175,student_1175,78,58
1176,student_1176,52,91
1177,student_1177,90,92
1178,student_1178,61,90
1179,student_1179,55,58
1180,student_1180,63,62
1181,student_1181,61,67
1182,student_1182,57,97
1183,student_1183,66,87
1184,student_1184,77,84
1185,student_1185,72,89
1186,student_1186,80,87
1187,student_1187,56,73
1188,student_1188,76,63
1189,student_1189,84,88
1190,student_1190,99,67
1191,student_1191,93,51
1192,student_1192,75,60
1193,student_1193,80,63
1194,student_1194,98,97
1195,student_1195,65,91
1196,student_1196,78,86
1197,student_1197,77,83
1198,student_1198,70,85
1199,student_1199,72,61
1200,student_1200,74,75
1201,student_1201,65,69
1202,student_1202,55,67
1203,student_1203,82,89
1204,student_1204,66,59
1205,student_1205,87,93
1206,student_1206,82,65
1207,student_1207,76,87
1208,student_1208,94,68
1209,student_1209,56,67
1210,student_1210,56,76
1211,student_1211,100,82
1212,student_1212,55,63
1213,student_1213,87,82
1214,student_1214,61,66
1215,student_1215,76,92
1216,student_1216,57,50
1217,student_1217,73,66
1218,student_1218,77,87
1219,student_1219,92,69
1220,student_1220,62,100
1221,student_1221,95,71
1222,student_1222,52,63
1223,student_1223,74,54
1224,student_1224,67,60
1225,student_1225,93,90
1226,student_1226,70,97
1227,student_1227,86,64
1228,student_1228,88,80
1229,student_1229,61,70
1230,student_1230,79,91
1231,student_1231,77,99
1232,student_1232,69,73
1233,student_1233,84,87
1234,student_1234,51,70
1235,student_1235,61,53
1236,student_1236,70,59
1237,student_1237,68,51
1238,student_1238,57,79
1239,student_1239,89,73
1240,student_1240,66,68
1241,student_1241,52,70
1242,student_1242,59,68
1243,student_1243,62,50
1244,student_1244,71,55
1245,student_1245,85,55
1246,student_1246,72,99
1247,student_1247,86,56
1248,student_1248,61,66
1249,student_1249,51,76
1250,student_1250,85,75
1251,student_1251,93,83
1252,student_1252,65,66
1253,student_1253,56,55
1254,student_1254,92,75
1255,student_1255,76,77
1256,student_1256,73,74
1257,student_1257,61,84
1258,student_1258,97,58
1259,student_1259,61,72
1260,student_1260,99,64
1261,student_1261,57,92
1262,student_1262,64,94
1263,student_1263,91,73
1264,student_1264,65,60
1265,student_1265,90,85
1266,student_1266,76,95
1267,student_1267,63,60
1268,student_1268,83,86
1269,student_1269,91,92
1270,student_1270,57,50
1271,student_1271,74,96
1272,student_1272,98,64
1273,student_1273,56,75
1274,student_1274,54,59
1275,student_1275,85,70
1276,student_1276,100,99
1277,student_1277,76,69
1278,student_1278,87,91
1279,student_1279,81,51
1280,student_1280,85,70
1281,student_1281,50,95
1282,student_1282,89,84
1283,student_1283,77,50
1284,student_1284,90,78
1285,student_1285,69,52
1286,student_1286,67,87
1287,student_1287,98,57
1288,student_1288,82,51
1289,student_1289,92,79
1290,student_1290,100,57
1291,student_1291,98,91
1292,student_1292,55,93
1293,student_1293,71,80
1294,student_1294,88,54
1295,student_1295,90,76
1296,student_1296,51,56
1297,student_1297,63,71
1298,student_1298,61,59
1299,student_1299,65,79
1300,student_1300,61,87
1301,student_1301,54,86
1302,student_1302,97,62
1303,student_1303,58,67
1304,student_1304,57,66
1305,student_1305,99,87
1306,student_1306,68,95
1307,student_1307,72,84
1308,student_1308,87,57
1309,student_1309,50,67
1310,student_1310,100,67
1311,student_1311,82,76
1312,student_1312,83,97
1313,student_1313,68,56
1314,student_1314,85,70
1315,student_1315,73,53
1316,student_1316,98,66
1317,student_1317,66,53
1318,student_1318,76,50
1319,student_1319,62,69
1320,student_1320,93,51
1321,student_1321,54,56
1322,student_1322,72,78
1323,student_1323,57,69
1324,student_1324,54,97
1325,student_1325,88,55
1326,student_1326,73,100
1327,student_1327,71,92
1328,student_1328,99,64
1329,student_1329,64,63
1330,student_1330,78,50
1331,student_1331,52,93
